id,name,description,category,price,stock,rating,reviews,origin,organic,peeling,peeling_price,sku
1,"Pommes","La pomme est un fruit comestible à pépins d'un goût sucré et acidulé et à la propriété plus ou moins astringente selon les variétés.","Les fruits",19.33,59,4.9,33,"France","Non","Non",0.00,"FR-001"
2,"Bananes","La banane est le fruit ou la baie dérivant de l'inflorescence du bananier. Riche en amidon, elle est très énergétique.","Les fruits",14.09,42,4.5,38,"Costa Rica","Oui","Non",0.00,"FR-002"
3,"Oranges","L'orange est un agrume, fruit des orangers, des arbres de différentes espèces de la famille des Rutacées ou d'hybrides de ceux-ci.","Les fruits",15.97,31,4.9,38,"Espagne","Non","Non",0.00,"FR-003"
4,"Fraises","La fraise est un fruit rouge issu des fraisiers, des plantes de la famille des Rosacées. Très parfumée, sucrée et légèrement acidulée.","Les fruits",25.09,97,4.3,47,"Maroc","Non","Non",0.00,"FR-004"
5,"Citrons","Le citron est un agrume, fruit du citronnier, un arbre de la famille des Rutacées. Il est utilisé principalement pour son jus acide.","Les fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-005"
6,"Mangues","La mangue est le fruit du manguier, un arbre fruitier de la famille des Anacardiaceae. Fruit charnu à noyau, riche et sucré.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-006"
7,"Ananas","L'ananas est une plante tropicale de la famille des Bromeliaceae cultivée pour son fruit comestible. Saveur sucrée et acidulée.","Les fruits",25.01,59,4.3,31,"Costa Rica","Non","Non",0.00,"FR-007"
8,"Poires","La poire est le fruit à pépins comestible au goût doux et sucré du poirier commun, arbre de la famille des Rosacées.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-008"
9,"Kiwis","Le kiwi est une baie, fruit de certaines espèces de lianes du genre Actinidia, famille des Actinidiaceae. Saveur douce et légèrement acidulée.","Les fruits",25.01,59,4.3,31,"Nouvelle-Zélande","Non","Non",0.00,"FR-009"
10,"Raisins","Le raisin est le fruit de la vigne. Le raisin de table est consommé à l'état frais, à la différence du raisin de cuve, qui est utilisé pour produire du vin.","Les fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-010"
11,"Pêches","La pêche est un fruit à noyau produit par le pêcher. Sa peau est duveteuse, sa chair est juteuse, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-011"
12,"Abricots","L'abricot est un fruit à noyau, de forme arrondie, à la peau veloutée, jaune orangé, plus ou moins lavée de rouge du côté ensoleillé.","Les fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-012"
13,"Cerises","La cerise est le fruit comestible du cerisier. C'est une drupe (fruit charnu à noyau), de forme sphérique, de couleur généralement rouge plus ou moins foncé.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-013"
14,"Framboises","La framboise est un fruit rouge issu du framboisier. Fruit multiple formé par la réunion de petites drupes, elle est très parfumée.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-014"
15,"Myrtilles","La myrtille est le fruit de certains arbustes du genre Vaccinium. Petite baie de couleur bleu-noir, elle est réputée pour ses bienfaits sur la santé.","Les fruits",25.01,59,4.3,31,"Canada","Non","Non",0.00,"FR-015"
16,"Pastèques","La pastèque est une plante herbacée de la famille des Cucurbitacées, cultivée pour son fruit à chair sucrée et rafraîchissante, généralement rouge.","Les fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-016"
17,"Melons","Le melon est une plante herbacée annuelle originaire d'Afrique intertropicale, appartenant à la famille des Cucurbitacées et largement cultivée comme plante potagère pour son fruit comestible.","Les fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-017"
18,"Grenades","La grenade est le fruit du grenadier, un arbre fruitier de la famille des Lythracées. Fruit sphérique à écorce coriace contenant de nombreuses graines entourées d'une pulpe juteuse.","Les fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-018"
19,"Figues","La figue est une infrutescence du figuier, un arbre de la famille des Moracées. Fruit charnu, sucré et parfumé, riche en fibres.","Les fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-019"
20,"Avocats","L'avocat est le fruit de l'avocatier. Sa chair est beurrée, de couleur vert pâle à jaune, et renferme une grosse graine.","Les fruits",25.01,59,4.3,31,"Mexique","Non","Non",0.00,"FR-020"
21,"Litchis","Le litchi est le fruit du litchi, un arbre tropical de la famille des Sapindacées. Fruit à l'écorce rouge et rugueuse, à la chair translucide, juteuse et parfumée.","Les fruits",25.01,59,4.3,31,"Madagascar","Non","Non",0.00,"FR-021"
22,"Papayes","La papaye est le fruit du papayer, un arbre fruitier originaire d'Amérique centrale. Fruit à la chair orangée, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-022"
23,"Goyaves","La goyave est le fruit du goyavier, un arbre fruitier tropical de la famille des Myrtacées. Fruit à la chair blanche ou rose, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-023"
24,"Fruits de la passion","Le fruit de la passion, ou maracuja, est le fruit de certaines espèces de passiflores. Fruit à la pulpe juteuse, acidulée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-024"
25,"Coings","Le coing est le fruit du cognassier, un arbre fruitier de la famille des Rosacées. Fruit à la chair ferme et parfumée, généralement consommé cuit.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-025"
26,"Pommes de terre","La pomme de terre, ou patate, est un tubercule comestible produit par l'espèce Solanum tuberosum, appartenant à la famille des solanacées.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-026"
27,"Carottes","La carotte est une plante bisannuelle de la famille des Apiacées, cultivée pour sa racine pivotante charnue, comestible, de couleur généralement orangée.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-027"
28,"Tomates","La tomate est une espèce de plante herbacée de la famille des Solanacées, originaire du nord-ouest de l'Amérique du Sud, largement cultivée pour son fruit.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-028"
29,"Oignons","L'oignon est une plante potagère cultivée pour son bulbe comestible. Il est utilisé comme légume ou comme condiment.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-029"
30,"Poivrons","Le poivron est le fruit d'une variété de l'espèce Capsicum annuum. Légume-fruit de la famille des Solanacées, il est consommé comme légume.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-030"
31,"Courgettes","La courgette est une plante potagère, variété de la courge. Son fruit, de forme allongée et de couleur verte ou jaune, est consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-031"
32,"Aubergines","L'aubergine est une plante potagère de la famille des Solanacées, cultivée pour son fruit comestible de couleur violette.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-032"
33,"Concombres","Le concombre est une plante potagère de la famille des Cucurbitacées, cultivée pour son fruit allongé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-033"
34,"Poireaux","Le poireau est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe allongé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-034"
35,"Choux","Le chou est une plante potagère de la famille des Brassicacées, cultivée pour ses feuilles comestibles formant une pomme.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-035"
36,"Brocolis","Le brocoli est une variété de chou de la famille des Brassicacées, cultivée pour ses bouquets de fleurs immatures comestibles.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-036"
37,"Choux-fleurs","Le chou-fleur est une variété de chou de la famille des Brassicacées, cultivée pour son inflorescence charnue et comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-037"
38,"Épinards","L'épinard est une plante potagère de la famille des Chénopodiacées, cultivée pour ses feuilles comestibles riches en fer.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-038"
39,"Haricots verts","Le haricot vert est le fruit immature du haricot commun, consommé comme légume. Il est riche en fibres et en vitamines.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-039"
40,"Petits pois","Le petit pois est la graine immature du pois cultivé, consommée comme légume. Il est riche en protéines et en fibres.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-040"
41,"Maïs","Le maïs est une céréale de la famille des Poacées, cultivée pour ses grains comestibles riches en amidon.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-041"
42,"Champignons","Les champignons comestibles sont des organismes appartenant au règne des Fungi, cultivés ou cueillis pour leur saveur et leurs qualités nutritionnelles.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-042"
43,"Asperges","L'asperge est une plante potagère de la famille des Liliacées, cultivée pour ses jeunes pousses comestibles.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-043"
44,"Artichauts","L'artichaut est une plante potagère de la famille des Astéracées, cultivée pour son capitule floral immature comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-044"
45,"Radis","Le radis est une plante potagère de la famille des Brassicacées, cultivée pour sa racine comestible au goût piquant.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-045"
46,"Betteraves","La betterave est une plante potagère de la famille des Chénopodiacées, cultivée pour sa racine charnue comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-046"
47,"Navets","Le navet est une plante potagère de la famille des Brassicacées, cultivée pour sa racine charnue comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-047"
48,"Céleri","Le céleri est une plante potagère de la famille des Apiacées, cultivée pour ses tiges, ses feuilles ou sa racine comestibles.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-048"
49,"Fenouil","Le fenouil est une plante potagère de la famille des Apiacées, cultivée pour son bulbe charnu et parfumé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-049"
50,"Ail","L'ail est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe composé de caïeux, utilisé comme condiment.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-050"
51,"Pommes","La pomme est un fruit comestible à pépins d'un goût sucré et acidulé et à la propriété plus ou moins astringente selon les variétés.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-051"
52,"Bananes","La banane est le fruit ou la baie dérivant de l'inflorescence du bananier. Riche en amidon, elle est très énergétique.","Les fruits",25.01,59,4.3,31,"Costa Rica","Non","Non",0.00,"FR-052"
53,"Oranges","L'orange est un agrume, fruit des orangers, des arbres de différentes espèces de la famille des Rutacées ou d'hybrides de ceux-ci.","Les fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-053"
54,"Fraises","La fraise est un fruit rouge issu des fraisiers, des plantes de la famille des Rosacées. Très parfumée, sucrée et légèrement acidulée.","Les fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-054"
55,"Citrons","Le citron est un agrume, fruit du citronnier, un arbre de la famille des Rutacées. Il est utilisé principalement pour son jus acide.","Les fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-055"
56,"Mangues","La mangue est le fruit du manguier, un arbre fruitier de la famille des Anacardiaceae. Fruit charnu à noyau, riche et sucré.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-056"
57,"Ananas","L'ananas est une plante tropicale de la famille des Bromeliaceae cultivée pour son fruit comestible. Saveur sucrée et acidulée.","Les fruits",25.01,59,4.3,31,"Costa Rica","Non","Non",0.00,"FR-057"
58,"Poires","La poire est le fruit à pépins comestible au goût doux et sucré du poirier commun, arbre de la famille des Rosacées.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-058"
59,"Kiwis","Le kiwi est une baie, fruit de certaines espèces de lianes du genre Actinidia, famille des Actinidiaceae. Saveur douce et légèrement acidulée.","Les fruits",25.01,59,4.3,31,"Nouvelle-Zélande","Non","Non",0.00,"FR-059"
60,"Raisins","Le raisin est le fruit de la vigne. Le raisin de table est consommé à l'état frais, à la différence du raisin de cuve, qui est utilisé pour produire du vin.","Les fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-060"
61,"Pêches","La pêche est un fruit à noyau produit par le pêcher. Sa peau est duveteuse, sa chair est juteuse, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-061"
62,"Abricots","L'abricot est un fruit à noyau, de forme arrondie, à la peau veloutée, jaune orangé, plus ou moins lavée de rouge du côté ensoleillé.","Les fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-062"
63,"Cerises","La cerise est le fruit comestible du cerisier. C'est une drupe (fruit charnu à noyau), de forme sphérique, de couleur généralement rouge plus ou moins foncé.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-063"
64,"Framboises","La framboise est un fruit rouge issu du framboisier. Fruit multiple formé par la réunion de petites drupes, elle est très parfumée.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-064"
65,"Myrtilles","La myrtille est le fruit de certains arbustes du genre Vaccinium. Petite baie de couleur bleu-noir, elle est réputée pour ses bienfaits sur la santé.","Les fruits",25.01,59,4.3,31,"Canada","Non","Non",0.00,"FR-065"
66,"Pastèques","La pastèque est une plante herbacée de la famille des Cucurbitacées, cultivée pour son fruit à chair sucrée et rafraîchissante, généralement rouge.","Les fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-066"
67,"Melons","Le melon est une plante herbacée annuelle originaire d'Afrique intertropicale, appartenant à la famille des Cucurbitacées et largement cultivée comme plante potagère pour son fruit comestible.","Les fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-067"
68,"Grenades","La grenade est le fruit du grenadier, un arbre fruitier de la famille des Lythracées. Fruit sphérique à écorce coriace contenant de nombreuses graines entourées d'une pulpe juteuse.","Les fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-068"
69,"Figues","La figue est une infrutescence du figuier, un arbre de la famille des Moracées. Fruit charnu, sucré et parfumé, riche en fibres.","Les fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-069"
70,"Avocats","L'avocat est le fruit de l'avocatier. Sa chair est beurrée, de couleur vert pâle à jaune, et renferme une grosse graine.","Les fruits",25.01,59,4.3,31,"Mexique","Non","Non",0.00,"FR-070"
71,"Litchis","Le litchi est le fruit du litchi, un arbre tropical de la famille des Sapindacées. Fruit à l'écorce rouge et rugueuse, à la chair translucide, juteuse et parfumée.","Les fruits",25.01,59,4.3,31,"Madagascar","Non","Non",0.00,"FR-071"
72,"Papayes","La papaye est le fruit du papayer, un arbre fruitier originaire d'Amérique centrale. Fruit à la chair orangée, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-072"
73,"Goyaves","La goyave est le fruit du goyavier, un arbre fruitier tropical de la famille des Myrtacées. Fruit à la chair blanche ou rose, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-073"
74,"Fruits de la passion","Le fruit de la passion, ou maracuja, est le fruit de certaines espèces de passiflores. Fruit à la pulpe juteuse, acidulée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-074"
75,"Coings","Le coing est le fruit du cognassier, un arbre fruitier de la famille des Rosacées. Fruit à la chair ferme et parfumée, généralement consommé cuit.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-075"
76,"Pommes de terre","La pomme de terre, ou patate, est un tubercule comestible produit par l'espèce Solanum tuberosum, appartenant à la famille des solanacées.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-076"
77,"Carottes","La carotte est une plante bisannuelle de la famille des Apiacées, cultivée pour sa racine pivotante charnue, comestible, de couleur généralement orangée.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-077"
78,"Tomates","La tomate est une espèce de plante herbacée de la famille des Solanacées, originaire du nord-ouest de l'Amérique du Sud, largement cultivée pour son fruit.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-078"
79,"Oignons","L'oignon est une plante potagère cultivée pour son bulbe comestible. Il est utilisé comme légume ou comme condiment.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-079"
80,"Poivrons","Le poivron est le fruit d'une variété de l'espèce Capsicum annuum. Légume-fruit de la famille des Solanacées, il est consommé comme légume.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-080"
81,"Courgettes","La courgette est une plante potagère, variété de la courge. Son fruit, de forme allongée et de couleur verte ou jaune, est consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-081"
82,"Aubergines","L'aubergine est une plante potagère de la famille des Solanacées, cultivée pour son fruit comestible de couleur violette.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-082"
83,"Concombres","Le concombre est une plante potagère de la famille des Cucurbitacées, cultivée pour son fruit allongé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-083"
84,"Poireaux","Le poireau est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe allongé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-084"
85,"Choux","Le chou est une plante potagère de la famille des Brassicacées, cultivée pour ses feuilles comestibles formant une pomme.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-085"
86,"Brocolis","Le brocoli est une variété de chou de la famille des Brassicacées, cultivée pour ses bouquets de fleurs immatures comestibles.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-086"
87,"Choux-fleurs","Le chou-fleur est une variété de chou de la famille des Brassicacées, cultivée pour son inflorescence charnue et comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-087"
88,"Épinards","L'épinard est une plante potagère de la famille des Chénopodiacées, cultivée pour ses feuilles comestibles riches en fer.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-088"
89,"Haricots verts","Le haricot vert est le fruit immature du haricot commun, consommé comme légume. Il est riche en fibres et en vitamines.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-089"
90,"Petits pois","Le petit pois est la graine immature du pois cultivé, consommée comme légume. Il est riche en protéines et en fibres.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-090"
91,"Maïs","Le maïs est une céréale de la famille des Poacées, cultivée pour ses grains comestibles riches en amidon.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-091"
92,"Champignons","Les champignons comestibles sont des organismes appartenant au règne des Fungi, cultivés ou cueillis pour leur saveur et leurs qualités nutritionnelles.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-092"
93,"Asperges","L'asperge est une plante potagère de la famille des Liliacées, cultivée pour ses jeunes pousses comestibles.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-093"
94,"Artichauts","L'artichaut est une plante potagère de la famille des Astéracées, cultivée pour son capitule floral immature comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-094"
95,"Radis","Le radis est une plante potagère de la famille des Brassicacées, cultivée pour sa racine comestible au goût piquant.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-095"
96,"Betteraves","La betterave est une plante potagère de la famille des Chénopodiacées, cultivée pour sa racine charnue comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-096"
97,"Navets","Le navet est une plante potagère de la famille des Brassicacées, cultivée pour sa racine charnue comestible.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-097"
98,"Céleri","Le céleri est une plante potagère de la famille des Apiacées, cultivée pour ses tiges, ses feuilles ou sa racine comestibles.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-098"
99,"Fenouil","Le fenouil est une plante potagère de la famille des Apiacées, cultivée pour son bulbe charnu et parfumé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-099"
100,"Ail","L'ail est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe composé de caïeux, utilisé comme condiment.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-100"