id,name,description,Categories,price,stock,rating,reviews,origin,organic,peeling,peeling_price,sku,image
1,"Pommes","La pomme est un fruit comestible à pépins d'un goût sucré et acidulé et à la propriété plus ou moins astringente selon les variétés.","Fruits",19.33,59,4.9,33,"France","Non","Non",0.00,"FR-001","https://hebbkx1anhila5yf.public.blob.vercel-storage.com/apples-red-fresh-mellow-juicy-perfect-whole-white-desk%201-V3NRkKXJSamkGkbw6dT1T2ioL6djfF.png"
2,"Bananes","La banane est le fruit ou la baie dérivant de l'inflorescence du bananier. Riche en amidon, elle est très énergétique.","Fruits",14.09,42,4.5,38,"Costa Rica","Oui","Non",0.00,"FR-002","https://images.unsplash.com/photo-1603833665858-e61d17a86224?q=80&w=800&auto=format&fit=crop"
3,"Oranges","L'orange est un agrume, fruit des orangers, des arbres de différentes espèces de la famille des Rutacées ou d'hybrides de ceux-ci.","Fruits",15.97,31,4.9,38,"Espagne","Non","Non",0.00,"FR-003","https://images.unsplash.com/photo-1611080626919-7cf5a9dbab12?q=80&w=800&auto=format&fit=crop"
4,"Fraises","La fraise est un fruit rouge issu des fraisiers, des plantes de la famille des Rosacées. Très parfumée, sucrée et légèrement acidulée.","Fruits",25.09,97,4.3,47,"Maroc","Non","Non",0.00,"FR-004","https://images.unsplash.com/photo-1464965911861-746a04b4bca6?q=80&w=800&auto=format&fit=crop"
5,"Citrons","Le citron est un agrume, fruit du citronnier, un arbre de la famille des Rutacées. Il est utilisé principalement pour son jus acide.","Fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-005","https://images.unsplash.com/photo-1590502593747-42a996133562?q=80&w=800&auto=format&fit=crop"
6,"Mangues","La mangue est le fruit du manguier, un arbre fruitier de la famille des Anacardiaceae. Fruit charnu à noyau, riche et sucré.","Fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-006","https://images.unsplash.com/photo-1553279768-865429fa0078?q=80&w=800&auto=format&fit=crop"
7,"Ananas","L'ananas est une plante tropicale de la famille des Bromeliaceae cultivée pour son fruit comestible. Saveur sucrée et acidulée.","Fruits",25.01,59,4.3,31,"Costa Rica","Non","Non",0.00,"FR-007","https://images.unsplash.com/photo-1550258987-190a2d41a8ba?q=80&w=800&auto=format&fit=crop"
8,"Poires","La poire est le fruit à pépins comestible au goût doux et sucré du poirier commun, arbre de la famille des Rosacées.","Fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-008","https://images.unsplash.com/photo-1514756331096-242fdeb70d4a?q=80&w=800&auto=format&fit=crop"
9,"Kiwis","Le kiwi est une baie, fruit de certaines espèces de lianes du genre Actinidia, famille des Actinidiaceae. Saveur douce et légèrement acidulée.","Fruits",25.01,59,4.3,31,"Nouvelle-Zélande","Non","Non",0.00,"FR-009","https://images.unsplash.com/photo-1618897996318-5a901fa6ca71?q=80&w=800&auto=format&fit=crop"
10,"Raisins","Le raisin est le fruit de la vigne. Le raisin de table est consommé à l'état frais, à la différence du raisin de cuve, qui est utilisé pour produire du vin.","Fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-010","https://images.unsplash.com/photo-1537640538966-79f369143f8f?q=80&w=800&auto=format&fit=crop"
11,"Pêches","La pêche est un fruit à noyau produit par le pêcher. Sa peau est duveteuse, sa chair est juteuse, sucrée et parfumée.","Fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-011","https://images.unsplash.com/photo-1595743825637-cdafc8ad4173?q=80&w=800&auto=format&fit=crop"
12,"Abricots","L'abricot est un fruit à noyau, de forme arrondie, à la peau veloutée, jaune orangé, plus ou moins lavée de rouge du côté ensoleillé.","Fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-012","https://images.unsplash.com/photo-1560806175-c9dacfd1bb3b?q=80&w=800&auto=format&fit=crop"
13,"Cerises","La cerise est le fruit comestible du cerisier. C'est une drupe (fruit charnu à noyau), de forme sphérique, de couleur généralement rouge plus ou moins foncé.","Fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-013","https://images.unsplash.com/photo-1528821128474-25c5fe468524?q=80&w=800&auto=format&fit=crop"
14,"Framboises","La framboise est un fruit rouge issu du framboisier. Fruit multiple formé par la réunion de petites drupes, elle est très parfumée.","Fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-014","https://images.unsplash.com/photo-1577069861033-55d04cec4ef5?q=80&w=800&auto=format&fit=crop"
15,"Myrtilles","La myrtille est le fruit de certains arbustes du genre Vaccinium. Petite baie de couleur bleu-noir, elle est réputée pour ses bienfaits sur la santé.","Fruits",25.01,59,4.3,31,"Canada","Non","Non",0.00,"FR-015","https://images.unsplash.com/photo-1498557850523-fd3d118b962e?q=80&w=800&auto=format&fit=crop"
16,"Pastèques","La pastèque est une plante herbacée de la famille des Cucurbitacées, cultivée pour son fruit à chair sucrée et rafraîchissante, généralement rouge.","Fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-016","https://images.unsplash.com/photo-1563114773-84221bd62daa?q=80&w=800&auto=format&fit=crop"
17,"Melons","Le melon est une plante herbacée annuelle originaire d'Afrique intertropicale, appartenant à la famille des Cucurbitacées et largement cultivée comme plante potagère pour son fruit comestible.","Fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-017","https://images.unsplash.com/photo-1571575173700-afb9492e6a50?q=80&w=800&auto=format&fit=crop"
18,"Grenades","La grenade est le fruit du grenadier, un arbre fruitier de la famille des Lythracées. Fruit sphérique à écorce coriace contenant de nombreuses graines entourées d'une pulpe juteuse.","Fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-018","https://images.unsplash.com/photo-1607170932229-84c843e0be70?q=80&w=800&auto=format&fit=crop"
19,"Figues","La figue est une infrutescence du figuier, un arbre de la famille des Moracées. Fruit charnu, sucré et parfumé, riche en fibres.","Fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-019","https://images.unsplash.com/photo-1601379760883-1bb497c558e0?q=80&w=800&auto=format&fit=crop"
20,"Avocats","L'avocat est le fruit de l'avocatier. Sa chair est beurrée, de couleur vert pâle à jaune, et renferme une grosse graine.","Fruits",25.01,59,4.3,31,"Mexique","Non","Non",0.00,"FR-020","https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?q=80&w=800&auto=format&fit=crop"
21,"Litchis","Le litchi est le fruit du litchi, un arbre tropical de la famille des Sapindacées. Fruit à l'écorce rouge et rugueuse, à la chair translucide, juteuse et parfumée.","Fruits",25.01,59,4.3,31,"Madagascar","Non","Non",0.00,"FR-021","https://images.unsplash.com/photo-1588165171080-c89acfa5ee83?q=80&w=800&auto=format&fit=crop"
22,"Papayes","La papaye est le fruit du papayer, un arbre fruitier originaire d'Amérique centrale. Fruit à la chair orangée, sucrée et parfumée.","Fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-022","https://images.unsplash.com/photo-1517282009859-f000ec3b26fe?q=80&w=800&auto=format&fit=crop"
23,"Goyaves","La goyave est le fruit du goyavier, un arbre fruitier tropical de la famille des Myrtacées. Fruit à la chair blanche ou rose, sucrée et parfumée.","Fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-023","https://images.unsplash.com/photo-1536511132770-e5058c7e8c46?q=80&w=800&auto=format&fit=crop"
24,"Fruits de la passion","Le fruit de la passion, ou maracuja, est le fruit de certaines espèces de passiflores. Fruit à la pulpe juteuse, acidulée et parfumée.","Fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-024","https://images.unsplash.com/photo-1604495772376-9657f0035eb5?q=80&w=800&auto=format&fit=crop"
25,"Coings","Le coing est le fruit du cognassier, un arbre fruitier de la famille des Rosacées. Fruit à la chair ferme et parfumée, généralement consommé cuit.","Fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-025","https://images.unsplash.com/photo-1602769515559-e15133a7e992?q=80&w=800&auto=format&fit=crop"
26,"Pommes de terre","La pomme de terre, ou patate, est un tubercule comestible produit par l'espèce Solanum tuberosum, appartenant à la famille des solanacées.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-026","https://images.unsplash.com/photo-1518977676601-b53f82aba655?q=80&w=800&auto=format&fit=crop"
27,"Carottes","La carotte est une plante bisannuelle de la famille des Apiacées, cultivée pour sa racine pivotante charnue, comestible, de couleur généralement orangée.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-027","https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?q=80&w=800&auto=format&fit=crop"
28,"Tomates","La tomate est une espèce de plante herbacée de la famille des Solanacées, originaire du nord-ouest de l'Amérique du Sud, largement cultivée pour son fruit.","Légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-028","https://images.unsplash.com/photo-1592924357228-91a4daadcfea?q=80&w=800&auto=format&fit=crop"
29,"Oignons","L'oignon est une plante potagère cultivée pour son bulbe comestible. Il est utilisé comme légume ou comme condiment.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-029","https://images.unsplash.com/photo-1518977956812-cd3dbadaaf31?q=80&w=800&auto=format&fit=crop"
30,"Poivrons","Le poivron est le fruit d'une variété de l'espèce Capsicum annuum. Légume-fruit de la famille des Solanacées, il est consommé comme légume.","Légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-030","https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?q=80&w=800&auto=format&fit=crop"
31,"Courgettes","La courgette est une plante potagère, variété de la courge. Son fruit, de forme allongée et de couleur verte ou jaune, est consommé comme légume.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-031","https://images.unsplash.com/photo-1583687355032-81cc83105636?q=80&w=800&auto=format&fit=crop"
32,"Aubergines","L'aubergine est une plante potagère de la famille des Solanacées, cultivée pour son fruit comestible de couleur violette.","Légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-032","https://images.unsplash.com/photo-1613884823277-5f0e9a892a99?q=80&w=800&auto=format&fit=crop"
33,"Concombres","Le concombre est une plante potagère de la famille des Cucurbitacées, cultivée pour son fruit allongé, consommé comme légume.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-033","https://images.unsplash.com/photo-1604977042946-1eecc30f269e?q=80&w=800&auto=format&fit=crop"
34,"Poireaux","Le poireau est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe allongé, consommé comme légume.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-034","https://images.unsplash.com/photo-1590085363792-e7b4a0376f6a?q=80&w=800&auto=format&fit=crop"
35,"Choux","Le chou est une plante potagère de la famille des Brassicacées, cultivée pour ses feuilles comestibles formant une pomme.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-035","https://images.unsplash.com/photo-1594282486552-05a3f7fa6ecf?q=80&w=800&auto=format&fit=crop"
36,"Brocolis","Le brocoli est une variété de chou de la famille des Brassicacées, cultivée pour ses bouquets de fleurs immatures comestibles.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-036","https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?q=80&w=800&auto=format&fit=crop"
37,"Choux-fleurs","Le chou-fleur est une variété de chou de la famille des Brassicacées, cultivée pour son inflorescence charnue et comestible.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-037","https://images.unsplash.com/photo-1568584711075-3d021a7c3ca3?q=80&w=800&auto=format&fit=crop"
38,"Épinards","L'épinard est une plante potagère de la famille des Chénopodiacées, cultivée pour ses feuilles comestibles riches en fer.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-038","https://images.unsplash.com/photo-1576045057995-568f588f82fb?q=80&w=800&auto=format&fit=crop"
39,"Haricots verts","Le haricot vert est le fruit immature du haricot commun, consommé comme légume. Il est riche en fibres et en vitamines.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-039","https://images.unsplash.com/photo-1567375698348-5d9d5ae99de0?q=80&w=800&auto=format&fit=crop"
40,"Petits pois","Le petit pois est la graine immature du pois cultivé, consommée comme légume. Il est riche en protéines et en fibres.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-040","https://images.unsplash.com/photo-1589927986089-35812388d1f4?q=80&w=800&auto=format&fit=crop"
41,"Maïs","Le maïs est une céréale de la famille des Poacées, cultivée pour ses grains comestibles riches en amidon.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-041","https://images.unsplash.com/photo-1551754655-cd27e38d2076?q=80&w=800&auto=format&fit=crop"
42,"Champignons","Les champignons comestibles sont des organismes appartenant au règne des Fungi, cultivés ou cueillis pour leur saveur et leurs qualités nutritionnelles.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-042","https://images.unsplash.com/photo-1504674900247-0877df9cc836?q=80&w=800&auto=format&fit=crop"
43,"Asperges","L'asperge est une plante potagère de la famille des Liliacées, cultivée pour ses jeunes pousses comestibles.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-043","https://images.unsplash.com/photo-1588167056547-c183313da47c?q=80&w=800&auto=format&fit=crop"
44,"Artichauts","L'artichaut est une plante potagère de la famille des Astéracées, cultivée pour son capitule floral immature comestible.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-044","https://images.unsplash.com/photo-1551465222-21f38590e0e6?q=80&w=800&auto=format&fit=crop"
45,"Radis","Le radis est une plante potagère de la famille des Brassicacées, cultivée pour sa racine comestible au goût piquant.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-045","https://images.unsplash.com/photo-1582284540020-8acbe03f4924?q=80&w=800&auto=format&fit=crop"
46,"Betteraves","La betterave est une plante potagère de la famille des Chénopodiacées, cultivée pour sa racine charnue comestible.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-046","https://images.unsplash.com/photo-1593105522750-e0ec5071eb1f?q=80&w=800&auto=format&fit=crop"
47,"Navets","Le navet est une plante potagère de la famille des Brassicacées, cultivée pour sa racine charnue comestible.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-047","https://images.unsplash.com/photo-1590165482129-1b8b27698780?q=80&w=800&auto=format&fit=crop"
48,"Céleri","Le céleri est une plante potagère de la famille des Apiacées, cultivée pour ses tiges, ses feuilles ou sa racine comestibles.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-048","https://images.unsplash.com/photo-1594060588530-5d1b65981350?q=80&w=800&auto=format&fit=crop"
49,"Fenouil","Le fenouil est une plante potagère de la famille des Apiacées, cultivée pour son bulbe charnu et parfumé, consommé comme légume.","Légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-049","https://images.unsplash.com/photo-1627735747011-b8d19d8f4b98?q=80&w=800&auto=format&fit=crop"
50,"Ail","L'ail est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe composé de caïeux, utilisé comme condiment.","Légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-050","https://images.unsplash.com/photo-1540148426945-6cf22a6b2383?q=80&w=800&auto=format&fit=crop"
